	 	 	 T = 0.3; v = [-10, 10]
N	Simple mean	Dichotomy	Double step	Kahan sum	FMA function	Simple (double)	sqrt(T/pi)
10000	0.3090179	0.3090187	0.3090187	0.3090187	0.3090179	0.3090187	0.3090194
20000	0.3090183	0.3090192	0.3090192	0.3090192	0.3090183	0.3090192	0.3090194
30000	0.3090183	0.3090193	0.3090193	0.3090193	0.3090183	0.3090193	0.3090194
40000	0.3090174	0.3090193	0.3090194	0.3090193	0.3090174	0.3090193	0.3090194
50000	0.3090178	0.3090193	0.3090194	0.3090194	0.3090177	0.3090193	0.3090194
60000	0.3090174	0.3090194	0.3090194	0.3090194	0.3090174	0.3090193	0.3090194
70000	0.3090153	0.3090194	0.3090194	0.3090194	0.3090153	0.3090194	0.3090194
80000	0.3090156	0.3090194	0.3090194	0.3090194	0.3090156	0.3090194	0.3090194
90000	0.3090159	0.3090194	0.3090194	0.3090194	0.3090159	0.3090194	0.3090194
100000	0.309016	0.3090194	0.3090194	0.3090194	0.309016	0.3090194	0.3090194
