	 	 	 T = 1; v = [-10, 10]
N	Simple mean	Dichotomy	Double step	Kahan sum	FMA function	Simple (double)	sqrt(T/pi)
10000	0.5641873	0.5641893	0.5641893	0.5641893	0.5641873	0.5641892	0.5641896
20000	0.5641862	0.5641895	0.5641895	0.5641895	0.5641861	0.5641895	0.5641896
30000	0.5641855	0.5641896	0.5641896	0.5641896	0.5641855	0.5641895	0.5641896
40000	0.5641816	0.5641896	0.5641896	0.5641896	0.5641816	0.5641896	0.5641896
50000	0.5641822	0.5641896	0.5641896	0.5641896	0.5641822	0.5641896	0.5641896
60000	0.5641841	0.5641896	0.5641896	0.5641896	0.5641841	0.5641896	0.5641896
70000	0.5641835	0.5641896	0.5641896	0.5641896	0.5641835	0.5641896	0.5641896
80000	0.5641774	0.5641896	0.5641896	0.5641896	0.5641774	0.5641896	0.5641896
90000	0.5641766	0.5641896	0.5641896	0.5641896	0.5641766	0.5641896	0.5641896
100000	0.5641772	0.5641896	0.5641896	0.5641896	0.5641772	0.5641896	0.5641896
